indx	section	hits	choices (récupérés des fichiers html sur base de la classe "choice")	traduction auto (via google translate)	choix remaniés (manuellement à la mimine)	nb.car	RAF	remarque
79	157	2	If you wish to leave the hallway, return to the plaza by	Si vous souhaitez quitter le couloir, retour à la place par	retourner à la Grand-Place 	27	k	
80	16	2	If you wish to leave the cellar by the grille	Si vous souhaitez quitter la cave par la grille	quitter la cave par la grille	29	k	
81	16	2	If you decide to stay in the cellar, prepare for combat and	Si vous décidez de rester dans la cave, et se préparer au combat	rester et se préparer au combat	31	k	
82	160	3	If you wish to approach the north gate	Si vous souhaitez approcher la porte du nord	s'approcher par la porte nord	29	k	
83	160	3	If you wish to approach the west arch	Si vous souhaitez approcher l'arc ouest	s'approcher de la porte ouest	29	k	
84	160	3	If you wish to search for some other way of entering the Grand Palace	Si vous souhaitez rechercher une autre manière d'entrer dans le Grand Palais	trouver une autre entrée	24	k	
86	163	3	If you wish to attack the guards	Si vous souhaitez attaquer les gardes	attaquer les gardes	19	k	
87	163	3	If you wish to remain as you are	Si vous souhaitez rester comme vous êtes	rester dans la cellule	22	k	
88	164	2	If you wish to climb the ladder	Si vous souhaitez gravir les échelons	monter l'échelle	16	k	
89	164	2	If you wish to ignore the ladder and press on along in the insect-choked tunnel	Si vous souhaitez ignorer l'échelle et appuyez sur le long dans le tunnel étranglé par les insectes	continuer par le tunnel plein d'insectes	40	k	
90	165	2	If you wish to attack this guard	Si vous souhaitez attaquer cette garde	attaquer le garde	17	k	
91	165	2	If you wish to overpower him and capture him alive	Si vous souhaitez le vaincre et le capturer vivant	le neutraliser	14	k	
96	169	2	If you wish to stop to read the poster	Si vous souhaitez arrêter de lire l'affiche	s'arrêter pour lire l'affiche	29	k	
97	169	2	If you wish to continue along the passage	Si vous souhaitez continuer le long du passage	continuer dans la ruelle	24	k	
99	17	4	If you wish to continue along the west channel	Si vous souhaitez continuer à l'ouest le long du canal	continuer par le tunnel ouest	29	k	
100	17	4	If you wish to turn north into the new tunnel	Si vous souhaitez tourner vers le nord dans le nouveau tunnel	aller au nord dans le nouveau tunnel	36	k	
101	17	4	If you wish to go south along the new tunnel	Si vous souhaitez aller vers le sud le long du nouveau tunnel	aller au sud par le nouveau tunnel	34	k	
102	171	2	If you wish to enter the secret passage	Si vous souhaitez entrer dans le passage secret	suivre le passage secret	24	k	
103	171	2	If you decide to avoid the passage, close the secret panel and continue along the corridor and	Si vous décidez d'éviter le passage, fermer le panneau secret et continuer le long du couloir et	continuer dans la galerie	25	k	
104	173	3	If you wish to take the north channel	Si vous souhaitez prendre le canal au nord	suivre le canal nord	20	k	
105	173	3	If you wish to take the south channel	Si vous souhaitez prendre le canal sud	suivre le canal sud	19	k	
106	173	3	If you wish to take the west channel	Si vous souhaitez prendre le canal ouest	suivre le canal ouest	21	k	
107	174	2	If you wish to pick up the sword	Si vous souhaitez prendre l'épée	ramasser l'épée	15	k	
108	174	2	If you wish to ignore the sword and attack the second guard with your bare hands	Si vous souhaitez ignorer l'épée et attaquer la deuxième garde à mains nues	se battre à mains nues	22	k	
109	177	2	If you wish to attack the Sharnazim	Si vous souhaitez attaquer le Sharnazim	attaquer les Sharnazims	23	k	
110	177	2	If you wish to evade them by climbing the narrow stone stairs	Si vous souhaitez les échapper en grimpant les escaliers en pierre étroites	s'enfuir par l'escalier	23	k	
111	178	2	If you win the combat, you may search his body and	Si vous gagnez le combat, vous pouvez chercher son corps et	fouiller le cadavre	19	k	
112	178	2	If you would rather ignore the body and enter the armoury	Si vous préférez ne pas tenir compte du corps et entrer dans la salle d'armes	entrer dans l'armurerie	23	k	
113	179	2	If you wish to attack Maouk	Si vous souhaitez attaquer Maouk	attaquer Maouk	14	k	
114	179	2	If you wish to turn and run back along the street	Si vous souhaitez tourner et courir le long de la rue	fuir en courant dans la rue	27	k	
115	181	2	If you wish to climb the steps and enter the door	Si vous souhaitez gravir les marches et entrez dans la porte	gravir l'escalier et franchir la porte	38	k	
116	181	2	If you wish to investigate the wooden chest	Si vous souhaitez enquêter sur la poitrine en bois	ouvrir le coffre	16	k	
117	182	2	If you wish to enter the passage	Si vous souhaitez entrer dans le passage	entrer dans le passage	22	k	
118	182	2	If you wish to listen at the door	Si vous souhaitez écouter à la porte	écouter à la porte	18	k	
119	186	2	If you wish to search his body	Si vous souhaitez rechercher son corps	fouiller le cadavre	19	k	
120	186	2	If you wish to ignore the body and enter the armoury	Si vous souhaitez ignorer le corps et entrez dans la salle d'armes	entrer dans l'armurerie	23	k	
123	19	2	If you wish to give the guards what they demand, erase any two Backpack Items except Meals from your	Si vous souhaitez donner les gardes ce qu'ils demandent, effacer tous les deux articles Sac à dos, sauf les repas de votre	donner aux gardes ce qu'ils demandent	37	k	
124	19	2	If you do not or cannot give the guards two Backpack Items, you must leave the gate and search for some other means of entering the palace. You may now pass through the gate and enter the palace gardens.	Si vous ne le faites pas ou ne peut pas donner les gardes deux articles Sac à dos, vous devez laisser la porte et chercher d'autres moyens d'entrer dans le palais. Vous pouvez passer à travers la porte et entrer dans les jardins du palais.	trouver un autre moyen d'entrer	31	k	
125	191	2	If you decide to surrender to Maouk	Si vous décidez de se rendre à Maouk	se rendre à Maouk	17	k	
126	191	2	If you wish to dive overboard and attempt an escape	Si vous souhaitez plonger par-dessus bord et tenter une évasion	plonger par-dessus bord	23	k	
127	193	2	If you wish to attack the guard	Si vous souhaitez attaquer la garde	attaquer le garde	17	k	
128	193	2	If you wish to overpower him and capture him alive	Si vous souhaitez le vaincre et le capturer vivant	le neutraliser	14	k	
129	195	4	If you wish to follow the man who left by the north door	Si vous souhaitez suivre l'homme qui a quitté par la porte du Nord	suivre l'homme sorti par la porte nord	38	k	
130	195	4	If you wish to follow the man who left by the west door	Si vous souhaitez suivre l'homme qui a quitté par la porte ouest	suivre l'homme sorti par la porte ouest	39	k	
131	195	4	If you wish to attack the armourer working at the anvil	Si vous souhaitez attaquer le travail armurier à l'enclume	attaquer l'armurier	19	k	
132	195	4	If you wish to leave the chamber and retrace your steps along the corridor to take the other passage	Si vous souhaitez quitter la chambre et revenir sur vos pas le long du couloir pour prendre l'autre passage	retourner prendre l'autre couloir	33	k	
133	196	2	If you wish to eat some of this mouth-watering food	Si vous souhaitez manger une partie de cette nourriture appétissante	goûter à un plat	16	k	
134	196	2	If you wish to leave the room by the window	Si vous souhaitez quitter la pièce par la fenêtre	quitter la pièce par la fenêtre	31	k	
137	20	5	If you wish to evade combat at any time by jumping into the sea	Si vous souhaitez combat evade à tout moment en sautant dans la mer	(ATM) sauter dans la mer	24	k	
138	20	5	If you wish to evade combat by surrendering	Si vous souhaitez échapper à un combat en se rendant	se rendre	9	k	
142	201	2	If you wish to fight this creature	Si vous souhaitez lutter contre cette créature	affronter la créature	21	k	
143	201	2	If you wish to try to evade the attack and escape	Si vous souhaitez essayer d'échapper à l'attaque et échapper	fuir l'attaque	14	k	
144	202	3	If you wish to investigate the stables	Si vous souhaitez enquêter sur les écuries	entrer dans les écuries	23	k	
145	202	3	If you wish to ask one of the merchants if they know where Tipasa lives	Si vous souhaitez demander à l'un des marchands s'ils savent où vit Tipasa	demander où se trouve Tipasa	28	k	
146	202	3	If you wish to leave the marketplace, continue along the adjoining street and	Si vous souhaitez quitter le marché, continuer le long de la rue voisine et	quitter le marché	17	k	
147	204	2	If you wish to try to grab the stone and turn it on your enemy	Si vous souhaitez essayer de saisir la pierre et tourner sur votre ennemi	s'emparer de la pierre	22	k	
148	204	2	If you wish to ignore the stone and attack the Darklord with your own weapon	Si vous souhaitez ignorer la pierre et attaquer le Darklord avec votre propre arme	utiliser notre arme	19	k	
149	208	2	If you possess some Oede herb, you may give it to the poor vaxeler by	Si vous possédez une herbe Oede, vous pouvez donner aux pauvres vaxeler par	donner de l'herbe aux lépreux	29	k	
150	208	2	If you do not have any Oede, or if you do not wish to give it to the man, you can flee the cave with Banedon by	Si vous n'avez pas Oede, ou si vous ne voulez pas donner à l'homme, vous pouvez fuir la grotte avec Banedon par	fuir la caverne avec Banedon	28	k	
153	211	2	If you wish to question him about Tipasa the Wanderer	Si vous souhaitez l'interroger sur Tipasa le Wanderer	l'interroger sur Tipasa	23	k	
154	211	2	If you wish to leave his home and continue on your way to Ikaresh	Si vous souhaitez quitter son domicile et continuer sur votre chemin à Ikaresh	poursuivre vers Ikaresh	23	k	
158	215	3	If you do not possess this item, you can try to climb over the door by	Si vous ne possédez pas cet article, vous pouvez essayer de monter sur la porte par	escalader la porte	18	k	
159	215	3	Alternatively, you can run back up the stairs and attempt to attack the guards before they load and fire their crossbows by	Vous pouvez courir les escaliers et tenter d'attaquer les gardes avant de charger et tirer leurs arbalètes par	remonter l'escalier vers les gardes	35	k	
160	216	2	If you want to try to reason with the crowd of screaming fanatics that are now running towards you with their swords drawn	Si vous voulez essayer de raisonner avec la foule de fanatiques cris qui sont en cours d'exécution maintenant vers vous avec leurs épées tirées	raisonner la bande de fanatiques	32	k	
161	216	2	If you wish to follow Banedon’s example and run for your life	Si vous souhaitez suivre l'exemple de Banedon et courir pour votre vie	fuir avec Banedon	17	k	
166	220	2	If you wish to follow the path	Si vous souhaitez suivre le chemin	suivre le sentier	17	k	
167	220	2	If you decide to climb the stairs to the portal	Si vous décidez de monter les escaliers au portail	monter l'escalier vers le portail	33	k	
172	225	2	If you wish to follow his example and drink the strange wine	Si vous souhaitez suivre son exemple et boire le vin étrange	boire du vin	12	k	
173	225	2	If you do not want to drink the wine, ask him where Tipasa can be found and	Si vous ne voulez pas boire le vin, demandez-lui où se trouve Tipasa et	lui demander où trouver Tipasa	30	k	
174	226	2	If you wish to attack the guards	Si vous souhaitez attaquer les gardes	attaquer les gardes	19	k	
175	226	2	If you do not wish to fight them, you can evade before they have a chance to strike at you by running back up to stairs	Si vous ne souhaitez pas les combattre, vous pouvez échapper avant qu'ils aient une chance de frapper vous en marche arrière jusqu'à un escalier	fuir en remontant l'escalier	28	k	
176	227	2	If you wish to stop and question her	Si vous souhaitez arrêter et interroger	s'arrêter et l'interroger	25	k	
177	227	2	If you wish to ignore her and continue on your way	Si vous souhaitez l'ignorer et continuer sur votre chemin	poursuivre	10	k	
178	228	2	If you wish to climb up a vine to the walkway and escape through the open stone door	Si vous souhaitez monter par la porte ouverte en pierre d'une vigne à la passerelle et d'évasion	escalader le lierre vers le balcon	34	k	
179	228	2	If you wish to search for an exit from the arboretum at ground level	Si vous souhaitez rechercher une sortie de l'arboretum au niveau du sol	sortir de l'arboretum par ce niveau	35	k	
181	234	3	If you wish to climb the stairs to the small portal	Si vous souhaitez monter les escaliers au petit portail	gravir les marches vers le portail	34	k	
182	234	3	If you wish to follow the winding path	Si vous souhaitez suivre le chemin sinueux	suivre le sentier sinueux	25	k	
185	236	2	If you wish to search the guard’s body	Si vous souhaitez rechercher le corps de la garde	fouiller le corps du garde	26	k	
186	236	2	If you decide to ignore the body, hurry into the Itikar’s pen and	Si vous décidez d'ignorer le corps, dépêchez-vous dans la plume du Itikar et	gagner l'enclos de l'Itikar	27	k	dans le bouquin que : 236 ; 357 ; 389 ; 398 (ok dans fichier)
187	238	2	If you wish to escape through the arch	Si vous souhaitez échapper à travers l'arc	s'enfuir par le porche	22	k	
188	238	2	If you wish to escape by the stairs	Si vous souhaitez échapper par les escaliers	s'enfuir par l'escalier	23	k	
192	241	3	If you wish to accept his invitation	Si vous souhaitez accepter son invitation	accepter son invitation	23	k	
193	241	3	If you decide to decline his offer and continue on your way towards Ikaresh	Si vous décidez de décliner son offre et continuer votre chemin vers Ikaresh	poursuivre vers Ikaresh	23	k	
195	246	3	If you decide to climb the stairs to the small portal	Si vous décidez de monter les escaliers au petit portail	gravir les marches vers le portail	34	k	
196	246	3	If you would rather follow the winding path	Si vous préférez suivre le chemin sinueux	suivre le sentier sinueux	25	k	
197	248	2	If you wish to buy the waistcoat, pay the man 5 Gold Crowns and	Si vous souhaitez acheter le gilet, payer l'homme 5 couronnes d'or et	acheter le paletot à 5 pièces d'or	34	k	
198	248	2	If you do not want to buy the waistcoat or cannot afford to pay him 5 Gold Crowns	Si vous ne voulez pas acheter le gilet ou ne peut pas se permettre de lui payer 5 couronnes d'or	ne pas l'acheter	16	k	
201	252	2	If you wish to cross the bridge and enter the Tower	Si vous souhaitez traverser le pont et entrer dans la tour	entrer dans la tour par le pont	31	k	
202	252	2	If you decide to descend the stairs	Si vous décidez de descendre les escaliers	enter dans le jardin par l'escalier	35	k	
203	254	2	If you wish to help the dwarf	Si vous souhaitez aider le nain	aider le nain	13	k	
204	254	2	If you wish to leap from the outrigger onto the fortified platform	Si vous souhaitez sauter de la plate-forme Outrigger sur la fortifiée	sauter de la passerelle	23	k	
205	256	2	If you wish to ask her if she is Soushilla only if you have heard that name before	Si vous souhaitez lui demander si elle est Soushilla que si vous avez entendu ce nom avant	lui demander si elle est Soushilla	34	k	
206	256	2	If you wish to ask her if she knows were Tipasa the Wanderer can be found	Si vous souhaitez lui demander si elle sait avoir été le Wanderer Tipasa se trouve	lui demander où trouver Tipasa	30	k	
208	26	3	If you wish to try to break down the door	Si vous souhaitez essayer de briser la porte	fracturer la porte	18	k	
209	26	3	If you decide to leave the door and head off along the other passage towards the stairs	Si vous décidez de laisser la porte et la tête hors le long de l'autre passage vers l'escalier	s'en éloigner et aller vers l'escalier	38	k	
210	262	2	If you wish to draw your weapon and prepare for combat	Si vous souhaitez attirer votre arme et se préparer au combat	dégainer et se préparer au combat	33	k	
211	262	2	If you wish to try to escape from them	Si vous souhaitez essayer de leur échapper	s'enfuir	8	k	
214	265	2	If you wish to give her a Gold Crown, make the adjustment to your	Si vous souhaitez lui donner une couronne d'or, faire l'ajustement à votre	lui donner 1 pièce d'or	23	k	
215	265	2	If you do not wish, or cannot afford, to give her any gold	Si vous ne souhaitez pas, ou ne peut pas se permettre, de lui donner de l'or	ne pas lui donner de pièce	26	k	
216	267	2	If you wish to attack the Drakkar before he lands his blow upon Banedon’s head	Si vous souhaitez attaquer le Drakkar avant qu'il atterrit son coup sur la tête de Banedon	attaquer le Drakkar	19	k	
217	267	2	If you do not wish to attack	Si vous ne souhaitez pas attaquer	ne pas intervenir	17	k	
218	272	3	If you wish to go north, towards the Dougga Market	Si vous souhaitez aller vers le nord, vers le marché Dougga	aller au nord, vers le marché	29	k	
219	272	3	If you wish to go west, towards the main square	Si vous souhaitez aller vers l'ouest, en direction de la place principale	aller à l'ouest, vers la place	30	k	
220	272	3	If you wish to go south, along the Avenue of Eagles	Si vous souhaitez aller vers le sud, le long de l'avenue des Aigles	aller au sud, par l'avenue des Aigles	37	k	
221	273	2	If you wish to evade combat	Si vous souhaitez échapper à un combat	(ATM) fuir le combat	20	k	
223	276	2	If you wish to pay the old woman 5 Gold Crowns, erase them from your	Si vous souhaitez payer la vieille femme 5 couronnes d'or, les effacer de votre	lui donner 5 pièces d'or	24	k	
224	276	2	If you do not have 5 Gold Crowns or do not wish to give her the money, leave the tavern and	Si vous ne disposez pas 5 couronnes d'or ou ne souhaitez pas lui donner l'argent, quitter la taverne et	quitter la taverne	18	k	
227	279	2	If you wish to descend to the bridge and enter the marble tower	Si vous souhaitez descendre au pont et entrez dans la tour de marbre	entrer dans la tour par le pont	31	k	
228	279	2	If you wish to continue past the bridge, descending the stairs to the palace gardens	Si vous souhaitez continuer après le pont, descendre les escaliers dans les jardins du palais	entrer dans les jardins par l'escalier	38	k	
229	283	2	If you wish to ask the dwarves how they came to be under Banedon’s command	Si vous souhaitez demander aux Nains comment ils sont venus à être sous le commandement de Banedon	interroger les nains	20	k	
230	283	2	If you wish to bid them goodnight	Si vous souhaitez enchérir les bonne nuit	leur dire bonne nuit	20	k	
231	285	2	If you wish to escape through the arch	Si vous souhaitez échapper à travers l'arc	s'enfuir par l'arche	20	k	
232	285	2	If you wish to escape by the stairs	Si vous souhaitez échapper par les escaliers	s'enfuir par l'escalier	23	k	
241	296	2	If you wish to accept their offer	Si vous souhaitez accepter leur offre	accepter leur offre	19	k	
242	296	2	If you wish to decline, you can leave the eating house and continue along the avenue and	Si vous souhaitez baisse, vous pouvez quitter la maison manger et continuer sur l'avenue et	poursuivre sur l'avenue	23	k	
243	297	2	If you are still alive and wish to fight the guards	Si vous êtes encore en vie et que vous souhaitez combattre les gardes	combattre les gardes	20	k	
244	297	2	If you wish to try to escape by running back up the stairs	Si vous souhaitez essayer d'échapper en courant l'escalier de secours	s'enfuir par l'escalier	23	k	
246	30	3	If you wish to hide outside on the narrow ledge that runs round the palace wall	Si vous souhaitez masquer l'extérieur sur le rebord étroit qui tourne autour du mur du palais	se cacher à l'extérieur, sur la corniche	40	k	
247	30	3	If you wish to attack the guards as they march past	Si vous souhaitez attaquer les gardes comme ils défilent devant	attaquer les gardes quand ils passent	37	k	
250	302	2	If you wish to accept a jug of the notorious ale	Si vous souhaitez accepter une cruche de bière notoire	boire de la bière	17	k	
251	302	2	If you decide to decline the offer	Si vous décidez de décliner l'offre	ne pas en boire	15	k	
254	310	2	If you wish to leave the tower by a door in the north wall	Si vous souhaitez quitter la tour par une porte dans le mur nord	sortir de la tour par la porte nord	35	k	
255	310	2	If you wish to prepare yourself for combat and wait for the Drakkarim to appear	Si vous souhaitez vous préparer pour le combat et d'attendre le Drakkarim apparaisse	affronter les Drakkars	22	k	
256	311	3	If you wish to retrieve the Sommerswerd	Si vous souhaitez récupérer le Glaive de Sommer	aller chercher le Glaive de Sommer	34	k	
257	311	3	If you wish to try to move to a new hiding place, under cover of the swirling dust	Si vous souhaitez essayer de passer à une nouvelle cachette, sous le couvert de la poussière tourbillonnant	gagner un autre abri	20	k	
258	311	3	If you wish to stay where you are	Si vous souhaitez rester où vous êtes	ne pas bouger	13	k	
263	317	2	If you wish to attack the guard before he draws his weapon	Si vous souhaitez attaquer la garde avant qu'il ne tire son arme	attaquer le garde	17	k	
264	317	2	If you wish to barge him aside and continue climbing the stairs	Si vous souhaitez le chaland de côté et continuer à monter les escaliers	le bousculer et poursuivre	26	k	
265	321	2	If you wish to question the vaxeler about Tipasa the Wanderer	Si vous souhaitez interroger le vaxeler sur Tipasa le Wanderer	interroger le lépreux sur Tipasa	32	k	
266	321	2	If you wish to leave the cave and press on towards Ikaresh	Si vous souhaitez quitter la grotte et appuyez sur vers Ikaresh	quitter la grotte pour Ikaresh	30	k	
267	322	2	If you wish to push the drum down the tower stairs	Si vous souhaitez pousser le tambour dans l'escalier de la tour	précipiter le tambour dans l'escalier	37	k	
268	322	2	If you prefer to ignore the drum and escape out onto the platform	Si vous préférez ignorer le tambour et échapper sur la plate-forme	s'échapper par la plate-forme	29	k	
271	33	2	If you wish to jump down the shaft	Si vous souhaitez sauter l'arbre	sauter dans le puits	20	k	
272	33	2	If you wish to stand and fight the Sharnazim	Si vous souhaitez rester et combattre le Sharnazim	affronter les Sharnazims	24	k	
277	334	2	If you wish to avoid combat at any time by running back up the spiral staircase	Si vous souhaitez éviter le combat à tout moment en marche arrière jusqu'à l'escalier en colimaçon	(ATM) retourner à l'escalier	28	k	
280	335	3	If you wish to attempt to grab the stone	Si vous souhaitez tenter de saisir la pierre	s'emparer de la pierre	22	k	
281	335	3	If you wish to ignore the stone and attack Haakon	Si vous souhaitez ignorer la pierre et l'attaque Haakon	attaquer Haakon	15	k	
283	337	3	If you wish to accept his invitation	Si vous souhaitez accepter son invitation	accepter son invitation	23	k	
284	337	3	If you wish to decline his offer and continue towards Ikaresh	Si vous souhaitez décliner son offre et continuer vers Ikaresh	continuer vers Ikaresh	22	k	
285	338	2	If you wish to continue climbing the stairs towards the door of the walkway	Si vous souhaitez continuer à monter les escaliers vers la porte de la passerelle	monter vers le chemin de ronde	30	k	
286	338	2	If you wish to enter the door through which the guard came	Si vous souhaitez entrer dans la porte par laquelle la garde est venu	entrer par la porte	19	k	
287	34	2	If you want to try to break down the door	Si vous voulez essayer de briser la porte	fracturer la porte	18	k	
288	34	2	If you decide to leave the door and head off along the other passage towards the stairs	Si vous décidez de laisser la porte et la tête hors le long de l'autre passage vers l'escalier	s'en éloigner et aller vers l'escalier	38	k	
289	341	2	If you wish to escape from the guard room by this door	Si vous souhaitez échapper à la salle de garde par cette porte	fuir par la porte	17	k	
290	341	2	If you wish to stand and fight	Si vous souhaitez tenir debout et combat	se préparer au combat	21	k	
291	342	2	If you wish to enter the eating-house	Si vous souhaitez entrer dans la maison de manger	entrer dans l'auberge	21	k	
